Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Year,Quarter,Month,WeekOfYear,DayOfMonth,IsMonthStart,IsMonthEnd,DaysSinceStart,Weekly_Sales_lag_1,Weekly_Sales_lag_2,Weekly_Sales_lag_4,Holiday_Flag_numeric,Holiday_Flag_lag_1,Weekly_Sales_roll_mean_4,Weekly_Sales_roll_std_4,Weekly_Sales_roll_mean_12,Weekly_Sales_roll_std_12,Store_Weekly_Sales_mean,Store_Weekly_Sales_median,Store_2,Store_3,Store_4,Store_5,Store_6,Store_7,Store_8,Store_9,Store_10,Store_11,Store_12,Store_13,Store_14,Store_15,Store_16,Store_17,Store_18,Store_19,Store_20,Store_21,Store_22,Store_23,Store_24,Store_25,Store_26,Store_27,Store_28,Store_29,Store_30,Store_31,Store_32,Store_33,Store_34,Store_35,Store_36,Store_37,Store_38,Store_39,Store_40,Store_41,Store_42,Store_43,Store_44,Store_45,Holiday_Flag_1
2010-02-05,1.0949965094455114,-0.985693391038647,-1.67730984351536,0.9244056428137075,0.3086010810661791,-1.206248070989882,1,2,-1.480972522891996,5,0,0,-1.7090573361063877,,,,0,,,,,,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-02-12,1.0918558705189598,-1.1923672718750398,-1.7296887533302128,0.9281421848469421,0.3086010810661791,-1.206248070989882,1,2,-1.4097750447035808,12,0,0,-1.6848751264360275,1.0940745088872488,,,1,-0.2728758730411983,1.1134046623958402,,1.1340954156967569,,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2010-02-19,1.0375220706384491,-1.1151365058782825,-1.803892208901255,0.9293459091225234,0.3086010810661791,-1.206248070989882,1,2,-1.3385775665151658,19,0,0,-1.6606929167656674,1.0909352825940146,1.0944195800091936,,0,3.6640458136858687,1.1118062085659877,-0.7634256146015079,1.1324662671635017,-0.9461215253565857,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-02-26,0.6711077097207486,-0.7507378212456953,-1.7013168438471677,0.9301274966780649,0.3086010810661791,-1.206248070989882,1,2,-1.2673800883267508,26,0,0,-1.6365107070953075,1.036625921605641,1.0912796765816788,,0,-0.2728758730411983,1.0928376365101249,-0.5932693451028853,1.113133446430357,-0.7981798470395005,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-03-05,0.9339583307230793,-0.7578082434848352,-1.56163975100756,0.9309090842336073,0.3086010810661791,-1.206248070989882,1,3,-1.1961826101383357,5,0,0,-1.6123284974249474,0.6703763708257112,1.0369586010093148,1.0950791798883561,0,-0.2728758730411983,0.9901085598170994,0.37498576634287395,1.0084316893376872,0.04366563211013146,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-03-12,0.725123959854131,-0.1437692659472371,-1.469976658831568,0.9316906717891489,0.3086010810661791,-1.206248070989882,1,3,-1.1249851319499207,12,0,0,-1.5881462877545873,0.933108763800756,0.6706300498315535,1.0919389428451407,0,-0.2728758730411983,0.9491277117235556,0.28055073120917584,1.000150200270661,-0.08597240233145448,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-03-19,0.7848657803125793,-0.31835430739061094,-1.354306566323767,0.9274622087987848,0.3086010810661791,-1.206248070989882,1,3,-1.0537876537615054,19,0,0,-1.5639640780842272,0.7243683248981968,0.933419114448991,1.037612095641865,0,-0.2728758730411983,0.8558021112899192,0.2009027622552201,0.9585195478211745,-0.04025500076100282,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-03-26,0.6615095253830507,-0.4885883197637446,-1.3281171114163406,0.9223987361028126,0.3086010810661791,-1.206248070989882,1,3,-0.9825901755730905,26,0,0,-1.5397818684138673,0.7840832739817464,0.7246336500230373,0.6712446219433771,0,-0.2728758730411983,0.7915063701441556,-0.13470250535267797,0.937637644011542,-0.0801424537799097,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-04-02,1.0067221004740976,0.09988836198619445,-1.3564890208993867,0.9173352659694217,0.06892348711604823,-1.206248070989882,2,4,-0.9113926973846753,2,0,0,-1.5155996587435072,0.6607825036716496,0.7843614796813864,0.934061607979392,0,-0.2728758730411983,0.7890638329927949,-0.11719598953983759,0.9059790204812289,-0.040996423448070994,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010-04-09,0.9169491183165016,0.2951407915132073,-1.245183837542824,0.9122717958360308,0.06892348711604823,-1.206248070989882,2,4,-0.8401952191962603,9,0,0,-1.491417449073147,1.0058398050121848,0.6610341132706617,0.7252539600339162,0,-0.2728758730411983,0.8075806904146594,0.07297054410818374,0.9211495706225407,-0.07343807945720601,0.9653460253497469,0.96735487825462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
